pge_id;nom;lat_deco;lon_deco;alt_deco_m;orientations;parapente;delta;thermique;soaring;treuil;cross;plaine;atterro_nom;lat_atterro;lon_atterro;alt_atterro_m;lien_pge;ffvl_id
7225;Vallon Pont d\'Arc;44.4241;4.3841;280;SE,S,SW;1;0;1;1;0;0;0;;44.4161;4.3884;113;http://www.paraglidingearth.com/?site=7225;0
22901;Vandeuil;49.2858;3.7896;156;;1;;;;;;;;;;;http://www.paraglidingearth.com/?site=22901;0
10894;Vandières;49.1058;3.7092;204;SE;1;0;1;1;0;0;1;;49.1012;3.7194;64;http://www.paraglidingearth.com/?site=10894;0
3045;"Varan dit  ""Pobu""";45.945;6.682;-1;SE,S,SW;1;0;1;0;0;1;0;null;45.9164;6.66528;556;http://www.paraglidingearth.com/?site=3045;0
22524;"Varan dit ""Verdun""";45.9475;6.68145;-1;SE,S,SW,W;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=22524;0
6184;Varces - Pré du Four;45.0817;5.63275;1236;E,SE;1;0;1;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=6184;0
2799;Varces-plateau de Saint Anges;45.0967;5.64694;971;N;1;0;1;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2799;0
11417;Vaugelaz (intermediaire);45.604;6.7147;1903;E,SE,S;1;0;1;0;0;1;0;;45.5916;6.7514;754;http://www.paraglidingearth.com/?site=11417;0
2849;Vauville les Pierres pouquelees;49.6499;-1.8556;124;SW;1;0;0;1;0;0;0;;;;;http://www.paraglidingearth.com/?site=2849;0
19355;vaux en prés;46.6292;4.58644;391;NE,E;1;0;1;1;0;0;0;;46.6299;4.58792;337;http://www.paraglidingearth.com/?site=19355;0
9332;Velars sur Ouches;47.3015;4.9005;536;NE,E,W;1;0;1;0;0;0;0;;47.3073;4.903;411;http://www.paraglidingearth.com/?site=9332;0
2577;Verdun;42.7919;1.7075;1058;W;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2577;0
2995;Verel pragondran;45.6267;5.94611;890;N,NE,E,W,NW;1;1;1;0;0;1;0;Montagny;45.6099;5.93149;302;http://www.paraglidingearth.com/?site=2995;0
19837;Vergission N-NO;46.3154;4.7169;467;N,NW;1;0;1;1;0;0;0;;46.3157;4.7118;381;http://www.paraglidingearth.com/?site=19837;0
19838;Vergission S-SO;46.314;4.7175;455;S,SW;1;0;1;1;0;0;0;;46.3117;4.7217;391;http://www.paraglidingearth.com/?site=19838;0
9845;Vero;42.0721;8.9074;888;SE,S,SW,W,NW;1;0;1;0;0;1;0;;42.0458;8.9243;240;http://www.paraglidingearth.com/?site=9845;0
2622;Versainville;48.9314;-0.18417;144;N,NW;1;0;0;0;0;0;1;;;;;http://www.paraglidingearth.com/?site=2622;0
10903;Vertus;48.9013;3.989;217;E,SE;1;0;0;1;0;0;1;;48.8989;3.9956;127;http://www.paraglidingearth.com/?site=10903;0
2636;Vic sur cere;44.9819;2.65902;1110;NW;1;0;1;0;0;1;0;;44.9844;2.63239;0;http://www.paraglidingearth.com/?site=2636;0
12203;Vic/cère, Les Blattes;44.9869;2.60743;1098;;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=12203;0
2688;Vieilley;47.3242;6.08556;593;N,NW;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2688;0
2612;Vierville sur mer;49.3828;-0.91056;39;NE;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2612;0
2783;Villard - cote 2000;45.03;5.5672;1691;N,SW,W;1;0;1;1;0;0;0;;45.0439;5.55917;1151;http://www.paraglidingearth.com/?site=2783;0
23664;"Villaroux ""Les vaches""";45.4562;6.07565;601;N,W,NW;1;0;1;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=23664;0
11467;Villeneuve Renneville;48.9387;4.0575;104;N,NE,E,SE,S,SW,W,NW;1;0;0;0;1;0;0;;48.9387;4.0577;104;http://www.paraglidingearth.com/?site=11467;0
2971;Villers poz;47.6695;6.2514;300;N;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2971;0
2611;Villers sur mer;49.3184;-0.019;64;N,NW;1;0;0;1;0;0;0;;49.3218;-0.0132;20;http://www.paraglidingearth.com/?site=2611;0
16113;Villerville;49.3912;0.10779;22;NW;1;0;0;1;0;0;0;;49.3916;0.1071;7;http://www.paraglidingearth.com/?site=16113;0
2595;Villeseque des corbieres;43.0092;2.8675;286;NW;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2595;0
2534;Villevieille;44.0761;6.24139;1007;W;1;0;0;0;0;0;0;Stade Jean Rolland;44.0839;6.22511;584;http://www.paraglidingearth.com/?site=2534;0
10895;Vincelles;49.0999;3.6532;171;S;1;0;1;1;0;0;1;;49.0975;3.6574;106;http://www.paraglidingearth.com/?site=10895;0
11555;Vix;47.9083;4.5325;300;NE,E,W,NW;1;0;1;1;0;0;0;;47.9121;4.5327;195;http://www.paraglidingearth.com/?site=11555;0
6874;Volmerange-les-Mines;49.4468;6.0996;411;NE,E,SE;1;1;1;1;0;0;1;;49.4457;6.1041;299;http://www.paraglidingearth.com/?site=6874;0
2864;Vouecourt;48.2667;5.14583;351;W;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2864;0
23628;Vouécourt;48.2735;5.13508;300;;1;;;;;;;;;;;http://www.paraglidingearth.com/?site=23628;0
20027;Véron;48.1384;3.31783;127;W;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=20027;0
2886;Wimereux - Pointe de la crèche;50.7512;1.5973;41;S,SW,NW;1;0;0;0;0;0;0;;;;;http://www.paraglidingearth.com/?site=2886;0
23524;Zuydcoote;51.0696;2.47828;5;;1;;;;;;;;;;;http://www.paraglidingearth.com/?site=23524;0
23218;Életot;49.7876;0.43504;90;NW;1;0;0;1;0;0;0;;;;;http://www.paraglidingearth.com/?site=23218;0
18809;étampes;48.4242;2.153;50;NW;1;0;1;1;0;0;0;;48.4258;2.1561;7;http://www.paraglidingearth.com/?site=18809;0
